StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,check_game,check_bucket_boy_1,check_bucket_girl_1,check_bucket_boy_2,check_bucket_girl_2,check_bucket_boy_3,check_bucket_girl_3,check_sample_boy_1,check_sample_girl_1,check_sample_boy_2,check_sample_girl_2,fc_expl_indiv_1,fc_expl_indiv_2,fc_expl_indiv_3,fc_expl_indiv_4,normative_group_1,normative_group_2,inductivePoten_0,inductivePoten_1,inductivePoten_2,innateness_switch_01,innateness_switch_02,innateness_switch_03,innateness_switch_1,innateness_switch_2,check_attn_0,check_attn_1,check_attn_2,age,gender,gender_4_TEXT,race,race_15_TEXT,ed,comment_1,comment_2,comment_3,randomCode,context,explanation,cb
12/3/2019 13:17,12/3/2019 13:22,IP Address,100,273,TRUE,12/3/2019 13:22,R_26kAXcQSZjwiiP7,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,34,Male,,Black/African American,,Some college,No problems.,If people make choices on their own or are the choices they make influenced by other things in their surroundings?,N/A,669467,structural,formal,girlsYellow
12/3/2019 13:18,12/3/2019 13:22,IP Address,100,228,TRUE,12/3/2019 13:22,R_1pGPctuXLrRwnDZ,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,26,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,no clue,no,74376,structural,formal,girlsYellow
12/3/2019 13:18,12/3/2019 13:22,IP Address,100,241,TRUE,12/3/2019 13:22,R_1igvGepQUv1Hk22,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,25,Male,,White/European American,,High school/GED,no,biased decisions based on gender,no,70876,nonstructural,formal,girlsGreen
12/3/2019 13:19,12/3/2019 13:22,IP Address,100,224,TRUE,12/3/2019 13:22,R_3DjqgzZeovqcnXc,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,38,Male,,"White/European American,Click to write Choice 8",,"Bachelor's (B.A., B.S.)",N/A,gender roles,N/A,454584,nonstructural,control,girlsYellow
12/3/2019 13:17,12/3/2019 13:22,IP Address,100,311,TRUE,12/3/2019 13:22,R_33yicRNkmofHLNS,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Yellow-Ball","For sure
Yellow-Ball",,"
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,36,Female,,White/European American,,Some college,No,"Decision making, maybe. I was unsure once I got to the questions",,182599,nonstructural,control,girlsGreen
12/3/2019 13:18,12/3/2019 13:23,IP Address,100,260,TRUE,12/3/2019 13:23,R_DzUQEl6bF5tnhRf,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,56,Male,,White/European American,,Some college,No,Basic choices given a scenario,No,512963,nonstructural,formal,girlsGreen
12/3/2019 13:17,12/3/2019 13:23,IP Address,100,323,TRUE,12/3/2019 13:23,R_2q8I2w10rGp8DWu,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Green-Ball",,"Maybe
Green-Ball",,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,46,Female,,White/European American,,"Bachelor's (B.A., B.S.)",No,To see how children reason,No,146608,structural,formal,girlsYellow
12/3/2019 13:20,12/3/2019 13:23,IP Address,100,191,TRUE,12/3/2019 13:23,R_2zZLHfuvYPscm0F,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because Suzy likes playing Green-Ball,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,37,Male,,White/European American,,High school/GED,No.,I have no idea.,No.,923690,structural,control,girlsGreen
12/3/2019 13:18,12/3/2019 13:23,IP Address,100,305,TRUE,12/3/2019 13:23,R_3jfxxGYONPe0uy9,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,54,Female,,White/European American,,Some college,None,I'm not sure-maybe testing how people react/choose based on the story?,Nothing at all.,31190,structural,control,girlsGreen
12/3/2019 13:19,12/3/2019 13:23,IP Address,100,233,TRUE,12/3/2019 13:23,R_1MWHX2KPM545r8V,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,36,Male,,White/European American,,"Bachelor's (B.A., B.S.)",,,,107219,structural,control,girlsYellow
12/3/2019 13:18,12/3/2019 13:23,IP Address,100,274,TRUE,12/3/2019 13:23,R_7WjC3MhV0VPS0mJ,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,61,Female,,White/European American,,Some college,,,,650274,structural,control,girlsYellow
12/3/2019 13:18,12/3/2019 13:23,IP Address,100,283,TRUE,12/3/2019 13:23,R_1LBtaEtKuZgemn2,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,42,Male,,Click to write Choice 8,,"Master's (M.A., M.S.)",no,Evaluating whether gender designation will endure change in environment,no,44790,nonstructural,formal,girlsYellow
12/3/2019 13:17,12/3/2019 13:23,IP Address,100,336,TRUE,12/3/2019 13:23,R_8ubH4HOtP9nosh3,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,34,Male,,White/European American,,"Bachelor's (B.A., B.S.)","No, it was all very clear.","I think the study had some relation to gender equality, but I'm not sure.","No, I think it was very engaging, thanks!",711698,structural,control,girlsGreen
12/3/2019 13:19,12/3/2019 13:23,IP Address,100,243,TRUE,12/3/2019 13:23,R_2Vfj4mxknLqm7ND,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,24,Female,,Black/African American,,"Bachelor's (B.A., B.S.)",,,,602378,nonstructural,formal,girlsYellow
12/3/2019 13:18,12/3/2019 13:23,IP Address,100,322,TRUE,12/3/2019 13:23,R_2xwNXgrcTi5Z2IU,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Green-Ball",,"Maybe
Green-Ball","
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,27,Male,,White/European American,,"Bachelor's (B.A., B.S.)",None,How people determine patterns based on behaviors,No,475756,nonstructural,formal,girlsYellow
12/3/2019 13:19,12/3/2019 13:23,IP Address,100,276,TRUE,12/3/2019 13:23,R_1Cxcu3IOF1z4sRn,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Yellow-Ball","For sure
Yellow-Ball",,,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,27,Male,,White/European American,,Some college,Nope,Nope,Not really.,181609,structural,formal,girlsGreen
12/3/2019 13:17,12/3/2019 13:23,IP Address,100,376,TRUE,12/3/2019 13:23,R_2fCDUNkdzSvEBqH,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,35,Male,,White/European American,,"Bachelor's (B.A., B.S.)","No, it seemed pretty straight forward.","People's perceptions on whether it's the environment that causes people to act a certain way, or their gender.","No, as long as you're getting the data you need.",747311,structural,control,girlsYellow
12/3/2019 13:20,12/3/2019 13:24,IP Address,100,226,TRUE,12/3/2019 13:24,R_2tAqD4eh1fMh9zb,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,36,Female,,White/European American,,"Bachelor's (B.A., B.S.)",No,Unsure,No,238712,structural,formal,girlsYellow
12/3/2019 13:19,12/3/2019 13:24,IP Address,100,257,TRUE,12/3/2019 13:24,R_2OPSs3xoK5SItbb,anonymous,EN,I do consent to participate,Yes,Yellow bucket is bigger,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,21,Male,,Latino/Latina,,High school/GED,none,peoples perceptions,pay more,869924,nonstructural,control,girlsGreen
12/3/2019 13:17,12/3/2019 13:24,IP Address,100,388,TRUE,12/3/2019 13:24,R_3HZlPbmo5gUfHfF,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,36,Female,,White/European American,,"Bachelor's (B.A., B.S.)",no issues,How we perceive things.,no,219674,structural,control,girlsYellow
12/3/2019 13:17,12/3/2019 13:24,IP Address,100,408,TRUE,12/3/2019 13:24,R_3rDEUkYZPyy0Jax,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,34,Female,,Latino/Latina,,"Bachelor's (B.A., B.S.)",No problems and everything was clear.,Whether people see choices from different genders inherent or caused by society.,No changes needed.,687842,nonstructural,control,girlsYellow
12/3/2019 13:20,12/3/2019 13:24,IP Address,100,249,TRUE,12/3/2019 13:24,R_1kReBGC9ZVYSytT,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because of the size of the buckets in her classroom,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,25,Male,,White/European American,,"Doctoral (Ph.D., J.D., M.D.)",no,,Suzy can come play with these blue ba.... I'm kidding. I'm sorry. I swear I took the rest of the survey seriously. ,815466,nonstructural,control,girlsYellow
12/3/2019 13:20,12/3/2019 13:24,IP Address,100,255,TRUE,12/3/2019 13:24,R_2OVeZSMCBz2mEDz,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"For sure
Green-Ball","
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,41,Female,,White/European American,,"Bachelor's (B.A., B.S.)",No,Trying to see if the story makes sense?,None :) ,530893,nonstructural,control,girlsGreen
12/3/2019 13:19,12/3/2019 13:24,IP Address,100,341,TRUE,12/3/2019 13:24,R_3ISu2oi4wRoJrlV,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"For sure
Green-Ball","
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,53,Male,,White/European American,,Some college,no,it was fun,no,582757,nonstructural,formal,girlsGreen
12/3/2019 13:18,12/3/2019 13:25,IP Address,100,379,TRUE,12/3/2019 13:25,R_2s7LYnrkftlVQyZ,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,47,Female,,White/European American,,"Master's (M.A., M.S.)",,,,103452,nonstructural,control,girlsGreen
12/3/2019 13:20,12/3/2019 13:25,IP Address,100,274,TRUE,12/3/2019 13:25,R_3e1VXewAyOH9Z3T,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,24,Male,,"White/European American,Black/African American",,Some college,No problems,Choice of an individual based on gender,,637008,nonstructural,formal,girlsGreen
